SourceSystemIdentifier,SourceSystem,EnrollmentStatus,LMSUserSourceSystemIdentifier,LMSSectionSourceSystemIdentifier,CreateDate,LastModifiedDate,SourceCreateDate,SourceLastModifiedDate
123628,Canvas,Active,100033975,123456793,2021-08-20 00:00:00,2021-08-20 00:00:00,,
123629,Canvas,Active,100033976,123456793,2021-08-20 00:00:00,2021-08-20 00:00:00,,
123630,Canvas,Active,100033977,123456793,2021-08-20 00:00:00,2021-08-20 00:00:00,,
123631,Canvas,Active,100033978,123456793,2021-08-20 00:00:00,2021-08-20 00:00:00,,
123632,Canvas,Active,100033979,123456793,2021-08-20 00:00:00,2021-08-20 00:00:00,,
123633,Canvas,Active,100033980,123456793,2021-08-20 00:00:00,2021-08-20 00:00:00,,
123634,Canvas,Active,100033981,123456793,2021-08-20 00:00:00,2021-08-20 00:00:00,,
123635,Canvas,Active,100033982,123456793,2021-08-20 00:00:00,2021-08-20 00:00:00,,
123636,Canvas,Active,100033983,123456793,2021-08-20 00:00:00,2021-08-20 00:00:00,,
123637,Canvas,Active,100033984,123456793,2021-08-20 00:00:00,2021-08-20 00:00:00,,
123638,Canvas,Active,100033985,123456793,2021-08-20 00:00:00,2021-08-20 00:00:00,,
123639,Canvas,Active,100033986,123456793,2021-08-20 00:00:00,2021-08-20 00:00:00,,
123640,Canvas,Active,100033987,123456793,2021-08-20 00:00:00,2021-08-20 00:00:00,,
123641,Canvas,Active,100033988,123456793,2021-08-20 00:00:00,2021-08-20 00:00:00,,
123642,Canvas,Active,100033989,123456793,2021-08-20 00:00:00,2021-08-20 00:00:00,,
123643,Canvas,Active,100033990,123456793,2021-08-20 00:00:00,2021-08-20 00:00:00,,
123644,Canvas,Active,100033991,123456793,2021-08-20 00:00:00,2021-08-20 00:00:00,,
123645,Canvas,Active,100033992,123456793,2021-08-20 00:00:00,2021-08-20 00:00:00,,
123646,Canvas,Active,100033993,123456793,2021-08-20 00:00:00,2021-08-20 00:00:00,,
123647,Canvas,Active,100033994,123456793,2021-08-20 00:00:00,2021-08-20 00:00:00,,
123648,Canvas,Active,100033995,123456793,2021-08-20 00:00:00,2021-08-20 00:00:00,,
123649,Canvas,Active,100033996,123456793,2021-08-20 00:00:00,2021-08-20 00:00:00,,
123650,Canvas,Active,100033997,123456793,2021-08-20 00:00:00,2021-08-20 00:00:00,,
123651,Canvas,Active,100033998,123456793,2021-08-20 00:00:00,2021-08-20 00:00:00,,
123652,Canvas,Active,100033999,123456793,2021-08-20 00:00:00,2021-08-20 00:00:00,,
