SourceSystemIdentifier,SourceSystem,Title,AssignmentCategory,AssignmentDescription,StartDateTime,EndDateTime,DueDateTime,SubmissionType,MaxPoints,LMSSectionSourceSystemIdentifier,CreateDate,LastModifiedDate,SourceCreateDate,SourceLastModifiedDate
2942251001,Canvas,Algebra foundations,Assignment,Complete the Khan Academy unit: Algebra Foundations. Post a screenshot of your test results as the homework.,2021-08-30 00:00:00,2021-09-01 00:00:00,2021-09-01 00:00:00,online_upload,100,123456780,2021-08-20 00:00:00,2021-08-20 00:00:00,,
2942251002,Canvas,Domain & Range,Assignment,Complete the Khan Academy unit: Domain & Range. Post a screenshot of your test results as the homework.,2021-09-02 00:00:00,2021-09-03 00:00:00,2021-09-06 00:00:00,online_upload,100,123456780,2021-08-20 00:00:00,2021-08-20 00:00:00,,
2942251004,Canvas,Exponents,Assignment,Complete the Khan Academy unit: Exponents. Post a screenshot of your test results as the homework.,2021-09-13 00:00:00,2021-09-16 00:00:00,2021-09-17 00:00:00,online_upload,100,123456780,2021-08-20 00:00:00,2021-08-20 00:00:00,,
2942251006,Canvas,Linear Equations,Assignment,Complete the Khan Academy unit: Linear Equations. Post a screenshot of your test results as the homework.,2021-09-20 00:00:00,2021-09-22 00:00:00,2021-09-23 00:00:00,online_upload,100,123456780,2021-08-20 00:00:00,2021-08-20 00:00:00,,
2942251008,Canvas,Quadratic Functions,Assignment,Complete the Khan Academy unit: Quadratic Functions. Post a screenshot of your test results as the homework.,2021-09-29 00:00:00,2021-09-30 00:00:00,2021-10-01 00:00:00,online_upload,100,123456780,2021-08-20 00:00:00,2021-08-20 00:00:00,,
2942251010,Canvas,Rational Expressions,Assignment,Complete the Khan Academy Quiz: Rational Expressions,2021-10-07 00:00:00,2021-10-08 00:00:00,2021-10-08 00:00:00,online_quiz,100,123456780,2021-08-20 00:00:00,2021-08-20 00:00:00,,
2942252012,Canvas,Word Problems,Assignment,Complete the Khan Academy quiz: Word Problems.,2021-10-13 00:00:00,2021-10-14 00:00:00,2021-10-15 00:00:00,online_quiz,100,123456780,2021-08-20 00:00:00,2021-08-20 00:00:00,,
2942252013,Canvas,Factoring Trinomials,Assignment,Complete the Khan Academy unit: Factoring Trinomials. Post a screenshot of your test results as the homework.,2021-10-18 00:00:00,2021-10-19 00:00:00,2021-10-20 00:00:00,online_upload,100,123456780,2021-08-20 00:00:00,2021-08-20 00:00:00,,
2942252016,Canvas,"Dot Plots, Histograms",Assignment,"Complete the Khan Academy unit: Dot Plots, Histograms. Post a screenshot of your test results as the homework.",2021-10-27 00:00:00,2021-10-28 00:00:00,2021-10-29 00:00:00,online_upload,100,123456780,2021-08-20 00:00:00,2021-08-20 00:00:00,,
2942252017,Canvas,Scatter Plots,Assignment,Complete the Khan Academy unit: Scatter Plots. Post a screenshot of your test results as the homework.,2021-11-01 00:00:00,2021-11-02 00:00:00,2021-11-03 00:00:00,online_upload,100,123456780,2021-08-20 00:00:00,2021-08-20 00:00:00,,
2942252018,Canvas,Graphing Inequalities,Assignment,Complete the Khan Academy unit: Graphing Inequalities. Post a screenshot of your test results as the homework.,2021-11-03 00:00:00,2021-11-04 00:00:00,2021-11-05 00:00:00,online_upload,100,123456780,2021-08-20 00:00:00,2021-08-20 00:00:00,,
2942252020,Canvas,Standard Form,Assignment,Complete the Khan Academy unit: Standard Form. Post a screenshot of your test results as the homework.,2021-11-10 00:00:00,2021-11-11 00:00:00,2021-11-12 00:00:00,online_upload,100,123456780,2021-08-20 00:00:00,2021-08-20 00:00:00,,
2942252021,Canvas,Point Slope Form,Assignment,Complete the Khan Academy unit: Point Slope Form. Post a screenshot of your test results as the homework.,2021-11-15 00:00:00,2021-11-16 00:00:00,2021-11-17 00:00:00,online_upload,100,123456780,2021-08-20 00:00:00,2021-08-20 00:00:00,,
