SourceSystemIdentifier,SourceSystem,EnrollmentStatus,LMSUserSourceSystemIdentifier,LMSSectionSourceSystemIdentifier,CreateDate,LastModifiedDate,SourceCreateDate,SourceLastModifiedDate
123555,Canvas,Active,100033951,123456789,2021-08-20 00:00:00,2021-08-20 00:00:00,,
123556,Canvas,Active,100033952,123456789,2021-08-20 00:00:00,2021-08-20 00:00:00,,
123557,Canvas,Active,100033953,123456789,2021-08-20 00:00:00,2021-08-20 00:00:00,,
123558,Canvas,Active,100033954,123456789,2021-08-20 00:00:00,2021-08-20 00:00:00,,
123559,Canvas,Active,100033955,123456789,2021-08-20 00:00:00,2021-08-20 00:00:00,,
123560,Canvas,Active,100033956,123456789,2021-08-20 00:00:00,2021-08-20 00:00:00,,
123561,Canvas,Active,100033957,123456789,2021-08-20 00:00:00,2021-08-20 00:00:00,,
123562,Canvas,Active,100033958,123456789,2021-08-20 00:00:00,2021-08-20 00:00:00,,
123563,Canvas,Active,100033959,123456789,2021-08-20 00:00:00,2021-08-20 00:00:00,,
123564,Canvas,Active,100033960,123456789,2021-08-20 00:00:00,2021-08-20 00:00:00,,
123565,Canvas,Active,100033961,123456789,2021-08-20 00:00:00,2021-08-20 00:00:00,,
123566,Canvas,Active,100033962,123456789,2021-08-20 00:00:00,2021-08-20 00:00:00,,
123567,Canvas,Active,100033963,123456789,2021-08-20 00:00:00,2021-08-20 00:00:00,,
123568,Canvas,Active,100033964,123456789,2021-08-20 00:00:00,2021-08-20 00:00:00,,
123569,Canvas,Active,100033965,123456789,2021-08-20 00:00:00,2021-08-20 00:00:00,,
123570,Canvas,Active,100033966,123456789,2021-08-20 00:00:00,2021-08-20 00:00:00,,
123571,Canvas,Active,100033967,123456789,2021-08-20 00:00:00,2021-08-20 00:00:00,,
123572,Canvas,Active,100033968,123456789,2021-08-20 00:00:00,2021-08-20 00:00:00,,
123573,Canvas,Active,100033969,123456789,2021-08-20 00:00:00,2021-08-20 00:00:00,,
123574,Canvas,Active,100033970,123456789,2021-08-20 00:00:00,2021-08-20 00:00:00,,
123575,Canvas,Active,100033971,123456789,2021-08-20 00:00:00,2021-08-20 00:00:00,,
123576,Canvas,Active,100033972,123456789,2021-08-20 00:00:00,2021-08-20 00:00:00,,
123577,Canvas,Active,100033973,123456789,2021-08-20 00:00:00,2021-08-20 00:00:00,,
123578,Canvas,Active,100033974,123456789,2021-08-20 00:00:00,2021-08-20 00:00:00,,
