SourceSystemIdentifier,SourceSystem,EnrollmentStatus,LMSUserSourceSystemIdentifier,LMSSectionSourceSystemIdentifier,CreateDate,LastModifiedDate,SourceCreateDate,SourceLastModifiedDate
123579,Canvas,Active,100033975,123456792,2021-08-20 00:00:00,2021-08-20 00:00:00,,
123580,Canvas,Active,100033976,123456792,2021-08-20 00:00:00,2021-08-20 00:00:00,,
123581,Canvas,Active,100033977,123456792,2021-08-20 00:00:00,2021-08-20 00:00:00,,
123582,Canvas,Active,100033978,123456792,2021-08-20 00:00:00,2021-08-20 00:00:00,,
123583,Canvas,Active,100033979,123456792,2021-08-20 00:00:00,2021-08-20 00:00:00,,
123584,Canvas,Active,100033980,123456792,2021-08-20 00:00:00,2021-08-20 00:00:00,,
123585,Canvas,Active,100033981,123456792,2021-08-20 00:00:00,2021-08-20 00:00:00,,
123586,Canvas,Active,100033982,123456792,2021-08-20 00:00:00,2021-08-20 00:00:00,,
123587,Canvas,Active,100033983,123456792,2021-08-20 00:00:00,2021-08-20 00:00:00,,
123588,Canvas,Active,100033984,123456792,2021-08-20 00:00:00,2021-08-20 00:00:00,,
123589,Canvas,Active,100033985,123456792,2021-08-20 00:00:00,2021-08-20 00:00:00,,
123590,Canvas,Active,100033986,123456792,2021-08-20 00:00:00,2021-08-20 00:00:00,,
123591,Canvas,Active,100033987,123456792,2021-08-20 00:00:00,2021-08-20 00:00:00,,
123592,Canvas,Active,100033988,123456792,2021-08-20 00:00:00,2021-08-20 00:00:00,,
123593,Canvas,Active,100033989,123456792,2021-08-20 00:00:00,2021-08-20 00:00:00,,
123594,Canvas,Active,100033990,123456792,2021-08-20 00:00:00,2021-08-20 00:00:00,,
123595,Canvas,Active,100033991,123456792,2021-08-20 00:00:00,2021-08-20 00:00:00,,
123596,Canvas,Active,100033992,123456792,2021-08-20 00:00:00,2021-08-20 00:00:00,,
123597,Canvas,Active,100033993,123456792,2021-08-20 00:00:00,2021-08-20 00:00:00,,
123598,Canvas,Active,100033994,123456792,2021-08-20 00:00:00,2021-08-20 00:00:00,,
123599,Canvas,Active,100033995,123456792,2021-08-20 00:00:00,2021-08-20 00:00:00,,
123600,Canvas,Active,100033996,123456792,2021-08-20 00:00:00,2021-08-20 00:00:00,,
123601,Canvas,Active,100033997,123456792,2021-08-20 00:00:00,2021-08-20 00:00:00,,
123602,Canvas,Active,100033998,123456792,2021-08-20 00:00:00,2021-08-20 00:00:00,,
123603,Canvas,Active,100033999,123456792,2021-08-20 00:00:00,2021-08-20 00:00:00,,
