SourceSystemIdentifier,SourceSystem,EnrollmentStatus,LMSUserSourceSystemIdentifier,LMSSectionSourceSystemIdentifier,CreateDate,LastModifiedDate,SourceCreateDate,SourceLastModifiedDate
123457,Canvas,Active,100033951,123456780,2021-08-20 00:00:00,2021-08-20 00:00:00,,
123458,Canvas,Active,100033952,123456780,2021-08-20 00:00:00,2021-08-20 00:00:00,,
123459,Canvas,Active,100033953,123456780,2021-08-20 00:00:00,2021-08-20 00:00:00,,
123460,Canvas,Active,100033954,123456780,2021-08-20 00:00:00,2021-08-20 00:00:00,,
123461,Canvas,Active,100033955,123456780,2021-08-20 00:00:00,2021-08-20 00:00:00,,
123462,Canvas,Active,100033956,123456780,2021-08-20 00:00:00,2021-08-20 00:00:00,,
123463,Canvas,Active,100033957,123456780,2021-08-20 00:00:00,2021-08-20 00:00:00,,
123464,Canvas,Active,100033958,123456780,2021-08-20 00:00:00,2021-08-20 00:00:00,,
123465,Canvas,Active,100033959,123456780,2021-08-20 00:00:00,2021-08-20 00:00:00,,
123466,Canvas,Active,100033960,123456780,2021-08-20 00:00:00,2021-08-20 00:00:00,,
123467,Canvas,Active,100033961,123456780,2021-08-20 00:00:00,2021-08-20 00:00:00,,
123468,Canvas,Active,100033962,123456780,2021-08-20 00:00:00,2021-08-20 00:00:00,,
123469,Canvas,Active,100033963,123456780,2021-08-20 00:00:00,2021-08-20 00:00:00,,
123470,Canvas,Active,100033964,123456780,2021-08-20 00:00:00,2021-08-20 00:00:00,,
123471,Canvas,Active,100033965,123456780,2021-08-20 00:00:00,2021-08-20 00:00:00,,
123472,Canvas,Active,100033966,123456780,2021-08-20 00:00:00,2021-08-20 00:00:00,,
123473,Canvas,Active,100033967,123456780,2021-08-20 00:00:00,2021-08-20 00:00:00,,
123474,Canvas,Active,100033968,123456780,2021-08-20 00:00:00,2021-08-20 00:00:00,,
123475,Canvas,Active,100033969,123456780,2021-08-20 00:00:00,2021-08-20 00:00:00,,
123476,Canvas,Active,100033970,123456780,2021-08-20 00:00:00,2021-08-20 00:00:00,,
123477,Canvas,Active,100033971,123456780,2021-08-20 00:00:00,2021-08-20 00:00:00,,
123478,Canvas,Active,100033972,123456780,2021-08-20 00:00:00,2021-08-20 00:00:00,,
123479,Canvas,Active,100033973,123456780,2021-08-20 00:00:00,2021-08-20 00:00:00,,
123480,Canvas,Active,100033974,123456780,2021-08-20 00:00:00,2021-08-20 00:00:00,,
123481,Canvas,Active,100033975,123456780,2021-08-20 00:00:00,2021-08-20 00:00:00,,
123482,Canvas,Active,100033976,123456780,2021-08-20 00:00:00,2021-08-20 00:00:00,,
123483,Canvas,Active,100033977,123456780,2021-08-20 00:00:00,2021-08-20 00:00:00,,
123484,Canvas,Active,100033978,123456780,2021-08-20 00:00:00,2021-08-20 00:00:00,,
123485,Canvas,Active,100033979,123456780,2021-08-20 00:00:00,2021-08-20 00:00:00,,
123486,Canvas,Active,100033980,123456780,2021-08-20 00:00:00,2021-08-20 00:00:00,,
123487,Canvas,Active,100033981,123456780,2021-08-20 00:00:00,2021-08-20 00:00:00,,
123488,Canvas,Active,100033982,123456780,2021-08-20 00:00:00,2021-08-20 00:00:00,,
123489,Canvas,Active,100033983,123456780,2021-08-20 00:00:00,2021-08-20 00:00:00,,
123490,Canvas,Active,100033984,123456780,2021-08-20 00:00:00,2021-08-20 00:00:00,,
123491,Canvas,Active,100033985,123456780,2021-08-20 00:00:00,2021-08-20 00:00:00,,
123492,Canvas,Active,100033986,123456780,2021-08-20 00:00:00,2021-08-20 00:00:00,,
123493,Canvas,Active,100033987,123456780,2021-08-20 00:00:00,2021-08-20 00:00:00,,
123494,Canvas,Active,100033988,123456780,2021-08-20 00:00:00,2021-08-20 00:00:00,,
123495,Canvas,Active,100033989,123456780,2021-08-20 00:00:00,2021-08-20 00:00:00,,
123496,Canvas,Active,100033990,123456780,2021-08-20 00:00:00,2021-08-20 00:00:00,,
123497,Canvas,Active,100033991,123456780,2021-08-20 00:00:00,2021-08-20 00:00:00,,
123498,Canvas,Active,100033992,123456780,2021-08-20 00:00:00,2021-08-20 00:00:00,,
123499,Canvas,Active,100033993,123456780,2021-08-20 00:00:00,2021-08-20 00:00:00,,
123500,Canvas,Active,100033994,123456780,2021-08-20 00:00:00,2021-08-20 00:00:00,,
123501,Canvas,Active,100033995,123456780,2021-08-20 00:00:00,2021-08-20 00:00:00,,
123502,Canvas,Active,100033996,123456780,2021-08-20 00:00:00,2021-08-20 00:00:00,,
123503,Canvas,Active,100033997,123456780,2021-08-20 00:00:00,2021-08-20 00:00:00,,
123504,Canvas,Active,100033998,123456780,2021-08-20 00:00:00,2021-08-20 00:00:00,,
123505,Canvas,Active,100033999,123456780,2021-08-20 00:00:00,2021-08-20 00:00:00,,
